Institution Name,Institution GND,Institution Lat,Institution Lng,located at,location geonames ID,location Lat,location Lng,part of,type of location
National Museum of Australia,http://d-nb.info/gnd/4439156-0,-35.2917,149.1195,Canberra,2172517,-35.28346,149.12807,Australia,city
National Library of Australia,http://d-nb.info/gnd/5118704-8,-35.296624,149.129825,Parkes,8555700,-35.30177,149.13041,Australia,city
Stiftung Mozarteum Salzburg,http://d-nb.info/gnd/16271979-6,47.803503,13.041992,Andräviertel,6941547,47.80523,13.04086,Austria,city
Österreichische Nationalbibliothek,http://d-nb.info/gnd/2050296-5,48.205432,16.365011,Innere Stadt,2775260,48.20906,16.37135,Austria,city
Austrian Centre for Digital Humanities at the Austrian Academy of Sciences,http://d-nb.info/gnd/1123037736,48.209133,16.377123,Vienna,2761369,48.20849,16.37208,Austria,city
University of Vienna,,48.213184,16.360052,Vienna,2761369,48.20849,16.37208,Austria,city
Robert Musil-Institut für Literaturforschung - Kärntner Literaturarchiv at Alpen-Adria-Universität Klagenfurt,,46.616095,14.265285,Klagenfurt am Wörthersee,2774326,46.62472,14.30528,Austria,city
Universität für Musik und darstellende Kunst,,48.195714,16.38139,Vienna,2761369,48.20849,16.37208,Austria,city
University of Antwerp,http://d-nb.info/gnd/5017340-6,51.1641,4.4066,Kerkeveld,2794549,51.16667,4.4,Belgium,city
Centrum voor Teksteditie en Bronnenstudie (Koninklijke Academie voor Nederlandse Taal- en Letterkunde),,51.0558,3.7281,Binnenstad,11352054,51.05374,3.72549,Belgium,city
Royal Museum for Central Africa,,50.830895,4.518294,Tervuren,2785622,50.82372,4.51418,Belgium,city
King Baudouin Foundation,,50.840375,4.362300,Bruxelles,2800866,50.85045,4.34878,Belgium,city
University of New Brunswick,http://d-nb.info/gnd/11143-0,45.9462,-66.6406,Barkers Point,5893060,45.95165,-66.62339,Canada,city
University of Calgary,http://d-nb.info/gnd/3003635-5,51.078164,-114.135796,Montgomery,6077007,51.07511,-114.16449,Canada,city
